"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/basket.html", "HTML", 0, 54, 0, 0, 4, 58
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/basket.js", "JavaScript", 4, 0, 0, 4, 6, 14
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/contact.html", "HTML", 0, 63, 0, 0, 3, 66
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/contact.js", "JavaScript", 38, 0, 0, 7, 13, 58
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/index.html", "HTML", 0, 134, 0, 0, 2, 136
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/links.html", "HTML", 0, 105, 0, 0, 4, 109
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/links.js", "JavaScript", 105, 0, 0, 19, 37, 161
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/myScript.js", "JavaScript", 105, 0, 0, 19, 37, 161
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/myStyles.css", "CSS", 0, 0, 85, 0, 5, 90
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/quotes.html", "HTML", 0, 112, 0, 0, 4, 116
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/quotes.js", "JavaScript", 49, 0, 0, 11, 24, 84
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/shop.html", "HTML", 0, 170, 0, 0, 8, 178
"/Users/simon/Dropbox/SG22100004188/Web Development Bootcamp/T42/shop.js", "JavaScript", 105, 0, 0, 19, 37, 161
"Total", "-", 406, 638, 85, 79, 184, 1392